name,image_url,brand,product_source_url,description,price,giftsource_url
Fujifilm Instax SQ1 instant camera,https://media.gq.com/photos/64273b9e3c48a90834709088/1:1/w_320%2Cc_limit/Layer_12.jpg,Amazon,https://www.amazon.com/Fujifilm-Instax-Square-Instant-Camera/dp/B08G6B6V4X,So they can document it all.,,https://cna.st/p/meh9fHuiYWLiq2ApevzNDgtCsvF3tH62Na8o3gb1hkTXLgyJjkW7yDmrpbwjHdwcqLj7ByRXdQvDZhEidC2CSqNuuSc7vpHUDXDgL3nDWpjgXdZwM89Lm3NXMVphSDsCUSrpkQUARsqqogR6L4ttwNLyN2qv38trxVeUR2zf8
Bose portable home Bluetooth speaker,https://media.gq.com/photos/64273ba19c091f9746f4be6d/1:1/w_320%2Cc_limit/Layer_15.jpg,Amazon,https://www.amazon.com/Bose-Portable-Home-Speaker-Built/dp/B07VFKBQ3K?th=1,"Now that they're out of the house, they can play their music as loud as they want to.",,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2K1CD9xBrtzDKMJeNeQhBqKowCChbLTBWMqp6v6UZGE4axXsLwzjCu3RZmujHVuacU7aPzY17q9gz31Ppg97XDCrVA9LpGfjx7uM1CFGSbaekcijLzQ9wxY2Ue1aN6RuG
Our Place home cook duo,https://media.gq.com/photos/64273ba13c48a9083470908b/1:1/w_320%2Cc_limit/Layer_18.jpg,Our Place,https://fromourplace.com/products/home-cook-duo?perfect-pot=sage&pan=sage,A cookware twofer that handles most of the cooking needs you could conceivably have in a tiny apartment.,,https://cna.st/p/meh9fHuiYWLiq2ApevzNDgtCsvF3tH62Na8o3gb1hkTXLgyJjkW7yDmrpcCYyRc8Cr5c8BeUdLNcDUBbMVn4k8LohzSKKmBCH2d8hoc1XNr8Dnx2J4mDYFjwPnjFYPomHFE2V9DiXEoKeLWfR2TiBezgW8eor7VkoqkHYYsbk
Trade Coffee subscription,https://media.gq.com/photos/64273da9065275fa16fc621f/1:1/w_320%2Cc_limit/Layer_2.jpg,Trade Coffee,https://www.drinktrade.com/,"For those last minute deadlines and adrenaline-fueled days, they'll always need more coffee. This subscription of the good stuff ensures that their bean supplies are always topped up.",,https://cna.st/p/meh9fHuiYWLiq2ApevzNDgtCsvF3tH62Na8o3gb1hkTXLgyJjkW7yDmrpbyzQ9eNtJusbzrDU6Qi12nGYVnN34nnQvTTP8EbaubkYai8uqCinHqNAAspZfZxbqMesuXY56tKpqWWrpHwFJTUW8LLC2xgoru3Vm8arFTnbdRMg
Smythson passport cover,https://media.gq.com/photos/64273dab3c48a9083470908d/1:1/w_320%2Cc_limit/Layer_5.jpg,Smythson,https://www.smythson.com/us/navy-passport-cover-in-mara-1029905.html?cgid=9A14,For all of the stamps they'll rack up on their post-grad adventures.,,https://cna.st/p/meh9fHuiYWLiq2ApevzNDgtCsvF3tH62Na8o3gb1hkTXLgyJjkW7yDmrpbwjHdwcqLj7ByRXdQvDZhESGNVPxy8A3Vu852EuaTXUbYrNnZF2HUKZ61hR8VRCne3HZAje58r6ZiEZ2JzmYAyoWKvGMhEcfmge8xdtSS1awQJkv
Artifact Uprising everyday photo book,https://media.gq.com/photos/64273dadc74f024305c7f00f/1:1/w_320%2Cc_limit/Layer_8.jpg,Artifact Uprising,https://www.artifactuprising.com/photo-books/everyday-photo-book,"If you're going the sentimental route, Artifact Uprising makes some of the best-looking scrapbooks for stuffing with all the school photos and memorabilia.",,https://cna.st/p/meh9fHuiYWLiq2ApevzNDgtCsvF3tH62Na8o3gb1hkTXLgyJjkW7yDmrpcA19Nqr1iUv1KDcF2Pq3wNMrwdoVdDDmNX2djePUsWuegPY6ztm3mkCS7V3e3wULgURbSosuRRXPWZTfWCq3DjjsTVdN3X4CpfyqQtn43picPb8J
"East Fork ""you're all set"" 7-piece set",https://media.gq.com/photos/642740a171f2881457441d78/1:1/w_320%2Cc_limit/Layer_3.jpg,East Fork,https://www.eastfork.com/products/7-piece-set?variant=39278858305615,All of the sleek ceramics that a person wants to pad out their dorm or first sublet.,,https://cna.st/p/meh9fHuiYWLiq2ApevzNDgtCsvF3tH62Na8o3gb1hkTXLgyJjkW7yDmrpcQm4uYqg9rUXxNUTTpZz45WZZvQDqwoostdf8GaqACqhG5EkRDaH9bwuZToSH2yKGaACRk2g9vN5jB3XYsCY7vngSFHdyc9nW8TNc44vfnVmJ5We
"'Atomic Habits,' by James Clear",https://media.gq.com/photos/642740a257a6294c1b82d31e/1:1/w_320%2Cc_limit/Layer_5.jpg,Amazon,https://www.amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299,Some would say it's life-changing for getting your shit together.,,https://cna.st/p/meh9fHuiYWLiq2ApevzNDgtCsvF3tH62Na8o3gb1hkTXLgyJjkW7yDmrpcQcgsau6cgxooME4eXA6QsGwXtLTuVAfK8yEMWkzYwx1xwTGWzSuf3cXafMoVQ2kaCt5gKqVxNqUNY6sUA41s6wFt3qXd7QomSDdyGG7EugTDRjk
Jolie filtered showerhead,https://media.gq.com/photos/63d970bd9e916d1b90aa1c8c/1:1/w_320%2Cc_limit/Layer_3.jpg,Huckberry,https://huckberry.com/store/jolie/category/p/77994-filtered-showerhead,Better water pressure and advanced filtration for her shower head? ,,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2LDbeXMwZpbBgTufgzYSRejssQvEMXGCGKpQiKth647Xf6xARiLEoTr5KzvLV6m3LFhe1arigZzVfk4YyMb9GTrpRxZCjpFE3HCEmjF332Hk9SYGCk5e6P68ph5AX5tva
Abel pink iris eau de parfum,https://media.gq.com/photos/6425daecd7492e4b1bcd2458/1:1/w_320%2Cc_limit/Layer_2.jpg,Anthropologie,https://www.anthropologie.com/shop/abel-eau-de-parfum?color=066&type=STANDARD&size=One%20Size&quantity=1,"When she wants to go au natural but still smell, you know, good.",,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2M3TcFqoQgCztqsMDAP3mWEAiLCKsET99FpfuK6kFyhRQHEG3mkyo4bqVUBjxCm1qBr4nNNxziQphEGkfrBCf6W49PwvbwVytF8kXsZvPPNyZa5GC1jMNG6CwsNKKAkBQ
Miaou x Hannah Jewett arm cuff,https://media.gq.com/photos/6425daefd7492e4b1bcd245a/1:1/w_320%2Cc_limit/Layer_10.jpg,SSENSE,https://www.ssense.com/en-us/women/product/miaou/silver-hannah-jewett-edition-arm-cuff/12580621,Help her show off those toned biceps with some silver bling.,,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2M3TcFqoQh98BnaufBp5HciW1QDkkuYLtKBoDeC4kswkoN5vuq14MVypdrY47GUkBCV78V6ZsnLkDA3nt6CuNHCZ1c6rxmkvD58as9CG8T7SLxbzXHHwLHWUZDzdpUR66
Cuyana travel jewelry case,https://media.gq.com/photos/63d970c30bb825bd78e94664/1:1/w_320%2Cc_limit/Layer_5.jpg,Cuyana,https://www.cuyana.com/small-leather-goods/travel-jewelry-case/10051041-804-000.html?dwvar_10051041-804-000_color=dark-coral,"If you're feeling fancy, present it with some fresh studs or a sleek necklace inside [gestures to the rest of this list].",,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2LDbeXMwZpb5TJBprqyLRtv4H5d9pfKePSNfc3JjZ8B4VWdvWpTtNfJMJ2qiLvepsktTbUKCdeE1AazcqujxycPhAiuDAtRQ3WHZF3XVgGjYLnMCetiDVvvK3qvVUsWYN
Gisou Glow and Scent set,https://media.gq.com/photos/6425daec20d558c1cce18dee/1:1/w_320%2Cc_limit/Layer_4.jpg,Gisou,https://us.gisou.com/products/the-glow-scent-set?variant=40315822964868,That inner glow you fell in love with sometimes requires a little reinforcement.,,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2M3TcFqoQg8EqkJpkqiaCnTWdqBL968YGsFUcXrWwBBDFUzpCbGaU2uxfXz6XciV9RdJMP85CiG5aoG8CnQe9VCXPnM2ELCMNx93huZ5jy8heoxMLxZxMVgF4gg7jUCA2
"L.L.Bean ""Mountain"" classic anorak",https://media.gq.com/photos/6425daefcacf87fc55ba0656/1:1/w_320%2Cc_limit/Layer_9.jpg,L.L. Bean,https://www.llbean.com/llb/shop/115614?page=mountain-classic-anorak&bc=516567-610-506594&feat=506594-GN3&csp=f&pos=4,"If the weather app is any indicator, April showers are showering.",,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2M3TcFqoQgfxQh9nACKzpAirb5CH7sqfaoJb7GCT9JuVaG9zLL3EHTcmjLxv89TUkeczJyu3ZQeTb5c5mKfQQujbBKTpDKfFsbou3vGFqXxtpzV4KQH49jz4GY1hAosAW
"Diptyque ""Fleur de Cerisier"" candle",https://media.gq.com/photos/6425daf1d7492e4b1bcd245c/1:1/w_320%2Cc_limit/Layer_15.jpg,Diptyque,https://www.diptyqueparis.com/en_us/p/fleur-de-cerisier-cherry-blossom-candle.html,"Subtle wafts of lush cherry blossoms filling up the ""sanctuary"" is a great way to help her wind down after a long day.",,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2M3TcFqoQhyrjRyswURHBHqfCeHUDnE7FwhoNCTWYyjPz9GpspB7BCnzc9unRJqoXKWzrZmn3vpWjgUwen9XnfZZYLP7DzGEwNSy1NvVnYbtczRdZvY59usFtfi1e7fjL
Calpak Luka duffel bag,https://media.gq.com/photos/637be4acde599a97dd64b847/1:1/w_320%2Cc_limit/Layer_11.jpg,Nordstrom,https://www.nordstrom.com/s/calpak-luka-duffle-bag/5579736,"Influencers across Instagram love this puffy travel bag—and for once, we agree. Unzip this bad boy and you’ll see it’s working overtime with its shoe pocket, interior pockets, and pass-through sleeve.",,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2L3BNYyJkcpNYSNoXUUfMJoybpp7bYEtGyG3kMZQA2MHQBXdDsMWJtMbfwHwrZhCTCEKR9Kz8wCNAgxUvxNod1tt351ugdsP2tDFwHAVEcQ2Cgt25at8Y2auQkxwF8dVG
Comme Si La Boxer Alta,https://media.gq.com/photos/637be4b9ba2c666080039c14/1:1/w_320%2Cc_limit/Layer-15.jpg,Comme Si,https://www.commesi.com/products/la-boxer-alta-cotton-poplin?variant=40047009628273,"Wide-leg, crisp Italian cotton lounging pants for the girlfriend who's constantly stealing your boxers or pajamas. It’s a gift that says, “I love you, here’s something nicer than my stuff for you to wear.”",,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2L3BNYyJnFYYAqBjRtHiv4wwsMdxnS2Nrg8BpanzSz4KWxZVx4rh9GUvufMhpWtaysLXCkcoCmLP6bRtUTmdofEGmrutT9XURvcG3EX84PY4wXCBNvbZMGmTnpDqaPgNr
Alder Apparel Open Air pant,https://media.gq.com/photos/637be4a6d5607a185a926582/1:1/w_320%2Cc_limit/Layer_2.jpg,Alder Apparel,https://www.alderapparel.com/products/the-open-air-pant,"Peep all the pockets on these hiking/travel/lounging-around-the-apartment pants that are stretchy enough that she'll never feel constricted as she hops over rocks or squats down to investigate a particularly interesting flower. Plus, Alder Apparel’s inclusive sizing (which goes up to a size 6X) ensures that there's a close fit for almost everyone.",,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2L3BNYyJkbtFFVfF5T3dqCKeJknghsCecGnPnBnrsMRbcbYgZGxC7KDSGPoYGJ69vCZ3k3Pqd6g1nPa4ABrNfNqpNd9aJ9qNnMfPzkg4xtgNnazoYWPexgMtoxiiZVovv
Primal Wine club subscription,https://media.gq.com/photos/637be4b4f5d11e48a1fba552/1:1/w_320%2Cc_limit/Layer_21.jpg,Primal Wine,https://primalwine.com/products/primal-wine-club-natural-wine-club,A choose-your-own-adventure ,,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2L3BNYyJnGUTCHAQbg9nVkiMuAo1ZCiAkvgRMXwdi7MizfM2jdTCbeZW2DwPcBmfahPo5cSLpXCJ21ebftMvWumtvK19ZzU9s145uRaRshsHuY7bo9GgFk5PDukZtH6B8
Casio LA670W watch,https://media.gq.com/photos/640207ddfa9a5c56e8015b49/master/w_320%2Cc_limit/Casio-LA670W-watch.jpg,Amazon,https://www.amazon.com/Casio-Womens-LA670WA-1-Daily-Digital/dp/B000GB0G2A/,"Micro watch, mega flex.",,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2M2zPhiBDuvT6feiNHyqroBtD5NeB32QXwxZfCCRsTdiEP2sThepZnBagnrh7w27cxchgnAXt1sjguc1ovnWL7kMJMm5LjS1rmHumSGtTqoUHMkQpiwxa4NS5a3M3whSN
Everlane No Sweat cardigan,https://media.gq.com/photos/6402075dfa9a5c56e8015b42/master/w_320%2Cc_limit/Everlane-No-Sweat-cardigan.jpg,Everlane,https://www.everlane.com/products/mens-no-sweat-ribbed-cardigan-pelican?collection=mens-newest-arrivals-2,"A breathable layer that also makes light work of the whole ""buying a good gift"" process.",,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2M2zVCcNuMdH1JwYTjQwKaoNMKMAR4UGVrD2seYX4ENZeb3X5PSpJKm7EtVd7moWfj3K4RGcqVaSUjxEuePjdrBevsE4v7JqUTVb6ztGbExCLs6rXzn3DPD6dFrCVNPUJ
Trade Coffee subscription,https://media.gq.com/photos/640207eeb023f4d32fee4671/master/w_320%2Cc_limit/Trade-Coffee-subscription.jpg,Trade Coffee,https://www.drinktrade.com/subscribe,One of the ,,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBESxhxyDMM2WBLjMLDWEc6GbDHdAvSE4kFrbzniw4nNNbGjdkd6j8HRvJHJebF4d3URKWeARPmBVZjou46nqss5v8YAvB5Qnngkzqdze5CNJ8XMcc2RNUTMN61qxKrnS5HWE
Fellow Opus burr grinder,https://media.gq.com/photos/6402075e54c1db5bc60d43c2/master/w_320%2Cc_limit/Fellow-Opus-burr-grinder.jpg,Huckberry,https://huckberry.com/store/fellow/category/p/80602-opus-conical-burr-grinder,"A new formidable, incredibly precise ",,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2M2zVCcNuMdJJK9By19j3PUbbcaSozM8Svp2vBRoQ24EBwjgT387jHJjwk8unoQ1B9zLmQQaUks7m62HyGhuNZze94WNkB4RrMEJGN1grBGGVMw6ndEcX7CEPiaYdoUce
Beats Fit Pro true wireless earbuds,https://media.gq.com/photos/640207dab023f4d32fee4660/master/w_320%2Cc_limit/Beats-Fit-Pro-true-wireless-earbuds.jpg,Amazon,https://www.amazon.com/dp/B09JL5QGCZ/ref=twister_B09KFZC27P?_encoding=UTF8&psc=1,A set of Bluetooth earbuds with ,,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2Jziu6ujXZMT4mFmd6PmrszzFCUX9uY1mJvMj8CrjUUa5ajvXPkfAGYWP1rYgwmeLTBq1xLq5PmcYWzgwE8BV32m5xhqshDhMkFHtR3DYnWK11Q6hBKxkPJU14V9aAFGS
"Completedworks ""One [Blank] Can Change the World"" pearl necklace",https://media.gq.com/photos/63ff78a506853ecd22525323/master/w_320%2Cc_limit/Completedworks-One-%255BBlank%255D-Can-Change-the-World-pearl-necklace.jpg,Matchesfashion,https://www.matchesfashion.com/us/products/Completedworks-One-%5BBlank%5D-Can-Change-the-World-pearl-necklace-1489460,One ,,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2LE6yCXhR3e2PPf1E8WFT5PyJaM5zMrkwGS4giqfeT5KaEHqcUHcFd4evMzfTNL8eiZMx3V8uUkHHRMQJqwP8gVs9mx77wGz2dRc3ogtMWfvSnaVk55AQUPAFuHbB3iLn
J.Crew cashmere hoodie,https://media.gq.com/photos/640207e3b023f4d32fee4666/master/w_320%2Cc_limit/JCrew-cashmere-hoodie.jpg,J.Crew,https://www.jcrew.com/m/mens/categories/clothing/sweaters/hoodie/cashmere-hoodie/MP601?display=standard&fit=Classic&color_name=navy&colorProductCode=BC474,Level up his humble rotation of hoodies with a wildcard cashmere number.,,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2LDNAsgQaQnWoGTqV5qtz7fuNVusaBsF8NPW8cRPBx4Wj4G9m1b7r9jzW61zSxsBjzCbUMkRaVt6dF4BDMJBwVh8j9iKtGPm9PKgcGAqZyJhisZBj1QtLHbQzjKwkqCii
Teenage Engineering OP-1 Field portable synthesizer,https://media.gq.com/photos/640207ecbf0836cfc159cf36/master/w_320%2Cc_limit/Teenage-Engineering-OP-1-Field-portable-synthesizer.jpg,MoMA Design Store,https://store.moma.org/products/teenage-engineering-op-1-field-portable-synthesizer?variant=43149842677990,A worthwhile splurge that'll have your favorite audiophile gabbing about it for the next calendar year.,,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2LDphjmfSi6thKfDN6bL6gH1ki4ruVbdzaQpBwCtzfFqg5wnTzrd58yxeHiP8fisTTZowfy9GkoFB3UtQVuG73FcEk8CSCGK9PDt6hZq6tvkPec3AX42bvhNEwHY6iXYS
Journey ALTI wireless charging desk mat,https://media.gq.com/photos/640207e3b023f4d32fee4664/master/w_320%2Cc_limit/Journey-ALTI-wireless-charging-desk-mat.jpg,Journey,https://journeyofficial.com/products/alti-wireless-charging-desk-mat?variant=43164996075761,An all-in-one charger and workstation that juices up all of his big tech items—from Apple watches to phones—in one place.,,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2LDphjmfSj23hjgnVthrb5MXmf7iGFbTSLYbmZNYcJMbZDLUC9Vh9n4RZWpySKYsHtsyq2BuhujtQEUzrR6Hdo91z7yKpL8JTPftjBhd3jMxecCx4p9cArgy4ZGkWSEht
Humanrace bodycare gift set,https://media.gq.com/photos/640207e2bf0836cfc159cf2d/master/w_320%2Cc_limit/Humanrace-bodycare-gift-set.jpg,Humanrace,https://www.humanrace.com/product/bodycare-routine-pack,Hot tip: Not-so-basic bar soaps are a great gift for skincare newbs.,,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2LDNAsgQaRp1gqiqmVdiJR9Cxtu25gHSvE1AeFDsiGSPEx5FWD8MvvbEpC5xXPmhA7BoYFdSTcCS1Q4JG51MHnCu88HHiEKyjxvkuC2Yt7wTDV2fQb5bBJTMJXvnbH2rr
Outdoor Voices Softshield liner jacket,https://media.gq.com/photos/640207e654c1db5bc60d43d0/master/w_320%2Cc_limit/Outdoor-Voices-Softshield-liner-jacket.jpg,Outdoor Voices,https://www.outdoorvoices.com/products/m-softshield-liner-jacket?variant=40098571386958,An ,,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2LDNAsgQaQo8afav9SuK1WsSvHJQMQNND36ctccxAaqcUgA1cEdDfU52z362DTUuq65r4YRGPzV6oyvyRHjkY7s4oTaHh7xTmgbMXL5VExETYRB8tFeBZXw4oYh2vhruL
